date,supplier,spend,currency,department,po_number,description,contract_end,region,single_source
2025-08-08,Google Cloud,33900,EUR,Engineering,PO-2025-005,BigQuery August,2025-12-31,DE,FALSE
2025-08-11,OpenAI,15400,EUR,Product,,GPT-4 API August - no contract,,DE,FALSE
2025-08-13,Salesforce,14800,EUR,Sales,,CRM Q3 - still no PO,2026-03-31,DE,FALSE
2025-08-15,Personio,8200,EUR,HR,PO-2025-003,HR software August,2025-12-31,DE,TRUE
2025-08-18,KPMG,24000,EUR,Finance,PO-2025-007,Audit Q3,2025-12-31,DE,FALSE
2025-08-20,Datadog,8900,EUR,Engineering,PO-2025-012,Monitoring August,2025-12-31,DE,FALSE
2025-08-22,Microsoft Azure,22300,EUR,Engineering,PO-2025-002,Azure licenses August,2025-11-30,DE,FALSE
2025-08-25,Twilio,7300,EUR,Product,PO-2025-008,SMS API August,2025-09-30,DE,FALSE
2025-08-27,McKinsey,42000,EUR,Strategy,PO-2025-017,Strategy phase 2 - new SOW,2025-12-31,DE,TRUE
2025-08-29,Fiverr,3200,EUR,Marketing,,Freelance content creation - no PO,,DE,FALSE
2025-09-01,AWS,58200,EUR,Engineering,PO-2025-014,Cloud infrastructure September,2025-12-31,DE,FALSE
2025-09-03,WeWork,18000,EUR,Facilities,PO-2025-004,Berlin office September,2025-12-31,DE,TRUE
2025-09-05,Snowflake,13400,EUR,Data,PO-2025-009,Data warehouse September,2025-12-31,DE,FALSE
2025-09-08,Google Cloud,35100,EUR,Engineering,PO-2025-005,BigQuery September,2025-12-31,DE,FALSE
2025-09-10,Anthropic,18900,EUR,Product,,Claude API September - no PO,,DE,TRUE
2025-09-12,SAP,32000,EUR,Finance,PO-2025-011,SAP license September,2026-03-31,DE,FALSE
2025-09-15,Celonis,15200,EUR,Operations,PO-2025-015,Process mining September,2026-04-30,DE,TRUE
2025-09-17,Personio,8200,EUR,HR,PO-2025-003,HR software September,2025-12-31,DE,TRUE
2025-09-19,HubSpot,7200,EUR,Marketing,,HubSpot September - no PO,,DE,FALSE
2025-09-22,LinkedIn,5600,EUR,HR,,LinkedIn Recruiter September - no PO,,DE,FALSE
2025-09-24,Microsoft Azure,22300,EUR,Engineering,PO-2025-002,Azure licenses September,2025-11-30,DE,FALSE
2025-09-26,Deloitte,19500,EUR,Finance,PO-2025-013,Tax advisory Q3,2025-12-31,DE,FALSE
2025-09-29,Lufthansa,2700,EUR,Sales,,Business travel September,,DE,FALSE
2025-10-01,AWS,61400,EUR,Engineering,PO-2025-018,Cloud infrastructure October - new contract,2026-12-31,DE,FALSE
2025-10-03,WeWork,18000,EUR,Facilities,PO-2025-004,Berlin office October,2025-12-31,DE,TRUE
2025-10-06,Google Cloud,36800,EUR,Engineering,PO-2025-019,BigQuery + Vertex October - new contract,2026-12-31,DE,FALSE
2025-10-08,Salesforce,14800,EUR,Sales,,CRM Q4 - still no PO raised,2026-03-31,DE,FALSE
2025-10-10,OpenAI,17200,EUR,Product,,GPT-4 API October - no contract,,DE,FALSE
2025-10-13,Datadog,8900,EUR,Engineering,PO-2025-012,Monitoring October,2025-12-31,DE,FALSE
2025-10-15,Personio,8200,EUR,HR,PO-2025-003,HR software October,2025-12-31,DE,TRUE
2025-10-17,Stripe,4600,EUR,Engineering,,Payment processing October,,DE,FALSE
2025-10-20,SAP,32000,EUR,Finance,PO-2025-011,SAP license October,2026-03-31,DE,FALSE
2025-10-22,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure licenses October - expanded,2026-10-31,DE,FALSE
2025-10-24,Snowflake,13400,EUR,Data,PO-2025-009,Data warehouse October,2025-12-31,DE,FALSE
2025-10-27,Twilio,7500,EUR,Product,PO-2025-008,SMS API October,2025-09-30,DE,FALSE
2025-10-29,KPMG,24000,EUR,Finance,PO-2025-007,Audit Q4,2025-12-31,DE,FALSE
2025-10-31,Celonis,15200,EUR,Operations,PO-2025-015,Process mining October,2026-04-30,DE,TRUE
2025-11-03,AWS,63100,EUR,Engineering,PO-2025-018,Cloud infrastructure November,2026-12-31,DE,FALSE
2025-11-05,WeWork,18000,EUR,Facilities,PO-2025-004,Berlin office November,2025-12-31,DE,TRUE
2025-11-07,Anthropic,21300,EUR,Product,,Claude API November - still no PO,,DE,TRUE
2025-11-10,Google Cloud,37500,EUR,Engineering,PO-2025-019,BigQuery November,2026-12-31,DE,FALSE
2025-11-12,HubSpot,7200,EUR,Marketing,,HubSpot November - no PO,,DE,FALSE
2025-11-14,Personio,8200,EUR,HR,PO-2025-003,HR software November,2025-12-31,DE,TRUE
2025-11-17,LinkedIn,5600,EUR,HR,,LinkedIn Recruiter November - no PO,,DE,FALSE
2025-11-19,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure licenses November,2026-10-31,DE,FALSE
2025-11-21,SAP,32000,EUR,Finance,PO-2025-011,SAP license November,2026-03-31,DE,FALSE
2025-11-24,Deloitte,19500,EUR,Finance,PO-2025-013,Tax advisory November,2025-12-31,DE,FALSE
2025-11-26,Datadog,8900,EUR,Engineering,PO-2025-012,Monitoring November,2025-12-31,DE,FALSE
2025-11-28,Lufthansa,4100,EUR,Management,,Year-end executive travel,,DE,FALSE
2025-12-01,AWS,64800,EUR,Engineering,PO-2025-018,Cloud infrastructure December,2026-12-31,DE,FALSE
2025-12-03,WeWork,18000,EUR,Facilities,PO-2025-004,Berlin office December,2025-12-31,DE,TRUE
2025-12-05,Google Cloud,38200,EUR,Engineering,PO-2025-019,BigQuery December,2026-12-31,DE,FALSE
2025-12-08,Salesforce,14800,EUR,Sales,,CRM Q4 final - no PO all year,2026-03-31,DE,FALSE
2025-12-10,OpenAI,19800,EUR,Product,,GPT-4 API December - no contract,,DE,FALSE
2025-12-12,Personio,8200,EUR,HR,PO-2025-003,HR software December,2025-12-31,DE,TRUE
2025-12-15,SAP,32000,EUR,Finance,PO-2025-011,SAP license December,2026-03-31,DE,FALSE
2025-12-17,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure licenses December,2026-10-31,DE,FALSE
2025-12-19,Stripe,5100,EUR,Engineering,,Payment processing December,,DE,FALSE
2025-12-22,KPMG,24000,EUR,Finance,PO-2025-007,Audit year-end final,2025-12-31,DE,FALSE
2025-12-23,Twilio,7800,EUR,Product,PO-2025-008,SMS API December,2025-09-30,DE,FALSE
2025-12-29,Snowflake,13400,EUR,Data,PO-2025-009,Data warehouse December,2025-12-31,DE,FALSE
2025-12-30,Celonis,15200,EUR,Operations,PO-2025-015,Process mining December,2026-04-30,DE,TRUE
2025-12-31,McKinsey,45000,EUR,Strategy,PO-2025-017,Year-end strategy review,2025-12-31,DE,TRUE
2026-01-06,AWS,66200,EUR,Engineering,PO-2025-018,Cloud infrastructure Jan 2026,2026-12-31,DE,FALSE
2026-01-08,WeWork,19500,EUR,Facilities,PO-2026-001,Berlin office Jan 2026 - new rate,2026-12-31,DE,TRUE
2026-01-10,Google Cloud,39400,EUR,Engineering,PO-2025-019,BigQuery Jan 2026,2026-12-31,DE,FALSE
2026-01-13,Anthropic,23800,EUR,Product,,Claude API Jan 2026 - no PO still,,DE,TRUE
2026-01-15,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure Jan 2026,2026-10-31,DE,FALSE
2026-01-17,Personio,8200,EUR,HR,PO-2026-002,HR software Jan 2026,2026-12-31,DE,TRUE
2026-01-20,Datadog,9800,EUR,Engineering,PO-2026-003,Monitoring Jan 2026 - price increase,2026-12-31,DE,FALSE
2026-01-22,SAP,32000,EUR,Finance,PO-2025-011,SAP license Jan 2026,2026-03-31,DE,FALSE
2026-01-24,Salesforce,16200,EUR,Sales,,CRM Jan 2026 - no PO raised again,2026-03-31,DE,FALSE
2026-01-27,HubSpot,7200,EUR,Marketing,,HubSpot Jan 2026 - no PO,,DE,FALSE
2026-01-29,Stripe,4800,EUR,Engineering,,Payment processing Jan 2026,,DE,FALSE
2026-02-02,AWS,68400,EUR,Engineering,PO-2025-018,Cloud infrastructure Feb 2026,2026-12-31,DE,FALSE
2026-02-04,WeWork,19500,EUR,Facilities,PO-2026-001,Berlin office Feb 2026,2026-12-31,DE,TRUE
2026-02-06,Google Cloud,40100,EUR,Engineering,PO-2025-019,BigQuery Feb 2026,2026-12-31,DE,FALSE
2026-02-09,OpenAI,22400,EUR,Product,,GPT-4 API Feb 2026 - no contract,,DE,FALSE
2026-02-11,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure Feb 2026,2026-10-31,DE,FALSE
2026-02-13,Snowflake,14200,EUR,Data,PO-2026-004,Data warehouse Feb 2026,2026-12-31,DE,FALSE
2026-02-17,Personio,8200,EUR,HR,PO-2026-002,HR software Feb 2026,2026-12-31,DE,TRUE
2026-02-19,Deloitte,21000,EUR,Finance,PO-2026-005,Tax advisory Feb 2026,2026-12-31,DE,FALSE
2026-02-21,Twilio,8100,EUR,Product,PO-2026-006,SMS API Feb 2026,2026-12-31,DE,FALSE
2026-02-24,Datadog,9800,EUR,Engineering,PO-2026-003,Monitoring Feb 2026,2026-12-31,DE,FALSE
2026-02-26,SAP,32000,EUR,Finance,PO-2025-011,SAP license Feb 2026,2026-03-31,DE,FALSE
2026-02-28,Lufthansa,3400,EUR,Management,,Business travel Feb 2026,,DE,FALSE
2026-03-02,AWS,69800,EUR,Engineering,PO-2025-018,Cloud infrastructure Mar 2026,2026-12-31,DE,FALSE
2026-03-04,WeWork,19500,EUR,Facilities,PO-2026-001,Berlin office Mar 2026,2026-12-31,DE,TRUE
2026-03-06,Anthropic,26100,EUR,Product,,Claude API Mar 2026 - no PO,,DE,TRUE
2026-03-09,Google Cloud,41300,EUR,Engineering,PO-2025-019,BigQuery Mar 2026,2026-12-31,DE,FALSE
2026-03-11,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure Mar 2026,2026-10-31,DE,FALSE
2026-03-13,Salesforce,16200,EUR,Sales,,CRM Mar 2026 - no PO still,2026-03-31,DE,FALSE
2026-03-16,Personio,8200,EUR,HR,PO-2026-002,HR software Mar 2026,2026-12-31,DE,TRUE
2026-03-18,Celonis,16800,EUR,Operations,PO-2026-007,Process mining Mar 2026 - new rate,2027-03-31,DE,TRUE
2026-03-20,KPMG,26000,EUR,Finance,PO-2026-008,Audit Q1 2026,2026-12-31,DE,FALSE
2026-03-23,Datadog,9800,EUR,Engineering,PO-2026-003,Monitoring Mar 2026,2026-12-31,DE,FALSE
2026-03-25,Snowflake,14200,EUR,Data,PO-2026-004,Data warehouse Mar 2026,2026-12-31,DE,FALSE
2026-03-27,SAP,32000,EUR,Finance,PO-2025-011,SAP license Mar 2026,2026-03-31,DE,FALSE
2026-03-31,HubSpot,7800,EUR,Marketing,,HubSpot Mar 2026 - no PO,,DE,FALSE
2026-04-01,AWS,71200,EUR,Engineering,PO-2025-018,Cloud infrastructure Apr 2026,2026-12-31,DE,FALSE
2026-04-03,WeWork,19500,EUR,Facilities,PO-2026-001,Berlin office Apr 2026,2026-12-31,DE,TRUE
2026-04-07,Google Cloud,42500,EUR,Engineering,PO-2025-019,BigQuery Apr 2026,2026-12-31,DE,FALSE
2026-04-09,OpenAI,24600,EUR,Product,,GPT-4 API Apr 2026 - no contract,,DE,FALSE
2026-04-11,Microsoft Azure,23800,EUR,Engineering,PO-2025-020,Azure Apr 2026,2026-10-31,DE,FALSE
2026-04-14,Personio,8200,EUR,HR,PO-2026-002,HR software Apr 2026,2026-12-31,DE,TRUE
2026-04-16,Anthropic,28400,EUR,Product,,Claude API Apr 2026 - no PO,,DE,TRUE
2026-04-18,Twilio,8100,EUR,Product,PO-2026-006,SMS API Apr 2026,2026-12-31,DE,FALSE
2026-04-21,Datadog,9800,EUR,Engineering,PO-2026-003,Monitoring Apr 2026,2026-12-31,DE,FALSE
2026-04-23,SAP,32000,EUR,Finance,PO-2026-009,SAP license Apr 2026 - renewed,2027-03-31,DE,FALSE
2026-04-25,LinkedIn,6200,EUR,HR,,LinkedIn Recruiter Apr 2026 - no PO,,DE,FALSE
2026-04-28,Deloitte,21000,EUR,Finance,PO-2026-005,Tax advisory Apr 2026,2026-12-31,DE,FALSE
2026-04-30,Stripe,5200,EUR,Engineering,,Payment processing Apr 2026,,DE,FALSE
